
['172.19.20.6']    JIA-1N-193B-620-6 
 
['172.19.20.80']    PAR-GROUND-2960L-80 
 
['172.19.20.9']    JIA-PAROOM-620-9 
 
['172.19.20.90']    JIA-CWMF-620-90 
 
['172.19.20.92']    JIA-CARWASH-620-92 
 
['172.19.20.91']    JIA-VEHSTOR-620-91 
 
['172.19.20.94']    JIA-GROUNDSBLDG-620-94 
 
['172.19.20.93']    JIA-VEHGATE-620-93 
 
['172.19.20.99']    JIA-ECO-DSTSW-99 
 
['172.19.20.112']    ADM-2811GW 
 
['172.17.20.15']    ADM-EDGE-3750X-15 
 
['172.17.20.121']    ADM-LAB-SW 
 
['172.18.20.103']    jia-136-2811-520-103 
 
['172.18.20.15']    JIA-EDGE-3750X-15 
 
['172.19.20.10']    JIA-TUG-2960X-10 
 
['172.19.20.102']    JIA-COLEFLYER-620-102 
 
['172.19.20.106']    JIA-136-VG224-106 
 
['172.19.20.101']    JIA-VENDORGATE-620-101 
 
['172.19.20.107']    JIA-136-VG224-107 
 
['172.16.20.10']    ADM-100B-320-10 
 
['172.19.20.108']    JIA-136-VG224-108 
 
